id,name_en,category_ar,description_en,note_type,intensity_1_10,cas_number,ifra_limit
196,Cinnamon Essential Oil Distillate,فانيليا وفواكه,"Warm, sweet, slightly woody cinnamon oil",Heart,10,53678-85-3,100
197,Star Anise Essential Oil Distillate,فانيليا وفواكه,"Spicy, warm, slightly woody star anise oil",Heart,5,51200-55-9,100
198,Allspice Essential Oil Distillate,فانيليا وفواكه,"Spicy, warm, slightly woody allspice oil",Heart,5,44417-89-9,100
199,Black Pepper Absolute Distillate,فانيليا وفواكه,"Fresh, spicy, slightly woody black pepper oil",Heart,5,37352-64-8,100
200,Pink Pepper Absolute Distillate,فانيليا وفواكه,"Smoky, woody, slightly sweet pink pepper oil",Heart,5,19023-14-4,100
151,Fresh Mint Essential Oil,عشبي ألدهيدي بحري,"Cool, refreshing mint",Top,3,100,100
152,Basil Essential Oil,عشبي ألدهيدي بحري,"Sweet, spicy basil",Top,3,100,100
153,Rosemary Essential Oil,عشبي ألدهيدي بحري,"Herbal, woody rosemary",Top,3,100,100
154,Cucumber Absolute,عشبي ألدهيدي بحري,"Refreshing, green cucumber",Top,3,100,100
155,Bamboo Shoot Absolute,عشبي ألدهيدي بحري,"Fresh, grassy bamboo",Top,3,100,100
156,Eucalyptus Essential Oil,عشبي ألدهيدي بحري,"Cool, medicinal eucalyptus",Top,3,100,100
157,Green Tea Absolute,عشبي ألدهيدي بحري,"Fresh, earthy green tea",Top,3,100,100
158,Oolong Tea Absolute,عشبي ألدهيدي بحري,"Rich, earthy oolong tea",Top,3,100,100
159,Coffee Absolute,عشبي ألدهيدي بحري,"Earthy, roasted coffee",Top,3,100,100
160,Cocoa Absolute,عشبي ألدهيدي بحري,"Sweet, earthy cocoa",Top,3,100,100
161,Tobacco Absolute,عشبي ألدهيدي بحري,"Smoky, earthy tobacco",Top,3,100,100
162,Patchouli Essential Oil Distillate,عشبي ألدهيدي بحري,"Earthy, deep, slightly sweet patchouli oil",Top,3,68741-36-3,100
163,Vetiver Essential Oil Distillate,عشبي ألدهيدي بحري,"Woody, earthy, smoky vetiver root oil",Top,3,56563-15-5,100
164,Sandalwood Essential Oil Distillate,عشبي ألدهيدي بحري,"Warm, woody, slightly sweet sandalwood oil",Top,3,82733-97-2,100
165,Cedarwood Essential Oil Distillate,عشبي ألدهيدي بحري,"Rich, dry, woody cedar aroma oil",Top,3,17159-83-3,100
166,Cypress Essential Oil Distillate,عشبي ألدهيدي بحري,"Fresh, woody, slightly herbal cypress oil",Top,3,18605-77-9,100
167,Juniper Berry Essential Oil Distillate,عشبي ألدهيدي بحري,"Piney, woody, slightly spicy juniper oil",Top,3,96294-69-7,100
168,Amyris Essential Oil Distillate,عشبي ألدهيدي بحري,"Sweet, woody, slightly smoky amyris oil",Top,3,72019-53-5,100
169,Guaiac Wood Essential Oil Distillate,عشبي ألدهيدي بحري,"Smoky, woody, medicinal guaiac oil",Top,3,72658-82-7,100
170,Storax Resinoid Absolute,عشبي ألدهيدي بحري,"Sweet, woody, spicy storax absolute",Top,3,91356-71-0,100
171,Dracopax Absolute,عشبي ألدهيدي بحري,"Earthy, woody, slightly smoky dracopax absolute",Top,3,144020-22-4,100
172,Hiba Wood Essential Oil Distillate,عشبي ألدهيدي بحري,"Fresh, woody, slightly floral hiba wood oil",Top,3,69352-31-6,100
173,Blue Tansy Essential Oil Distillate,عشبي ألدهيدي بحري,"Smoky, woody, slightly animalic blue tansy oil",Top,3,95790-30-7,100
174,Pink Pepper Essential Oil Distillate,عشبي ألدهيدي بحري,"Spicy, woody, slightly sweet pink pepper oil",Top,3,71358-08-1,100
175,Green Pepper Absolute Distillate,عشبي ألدهيدي بحري,"Fresh, spicy, slightly woody green pepper oil",Top,3,77764-53-5,100
101,Musk Absolute,مسكي حيواني,"Rich, animalic, powdery musk",Base,5,27731-71-8,100
102,Civet Absolute,مسكي حيواني,"Intense, animalic, exotic civet",Base,10,64977-42-0,100
103,Castoreum Absolute,مسكي حيواني,"Sweet, animalic, slightly woody castoreum",Base,10,69671-12-5,100
104,Ambergris Absolute,مسكي حيواني,"Earthy, oceanic, animalic ambergris",Base,5,41829-03-6,100
105,Hyraceum Absolute,مسكي حيواني,"Rich, animalic, earthy hyraceum",Base,5,84893-84-7,100
106,Sperm Whale Oil,مسكي حيواني,"Deep, oceanic, animalic sperm whale oil",Base,5,49648-80-9,100
107,Ixora Essential Oil,مسكي حيواني,"Sweet, spicy, slightly musky ixora",Base,5,34807-65-7,100
108,Ambrette Seed Absolute,مسكي حيواني,"Spicy, musky, slightly sweet ambrette seed",Base,5,77076-44-5,100
109,Tolu Balsam,مسكي حيواني,"Sweet, balsamic, slightly musky tolu balsam",Base,5,14077-68-3,100
110,Myrtenol,مسكي حيواني,"Sweet, floral, slightly musky myrtenol",Base,5,73168-14-4,100
111,Tricyclene,مسكي حيواني,"Citrusy, green, slightly musky tricyclene",Base,5,54710-95-7,100
112,Galaxolide,مسكي حيواني,"Sweet, powdery, musky galaxolide",Base,5,67968-29-1,100
113,Amaryl,مسكي حيواني,"Sweet, floral, musky amaryl",Base,5,62104-32-9,100
114,Phenyl Acetate,مسكي حيواني,"Sweet, ethereal, slightly musky phenyl acetate",Base,5,67959-89-6,100
115,Hydroxycitronellal,مسكي حيواني,"Sweet, floral, slightly musky hydroxycitronellal",Base,5,52559-72-5,100
116,Cinnamaldehyde,مسكي حيواني,"Spicy, sweet, slightly musky cinnamaldehyde",Base,5,45590-25-7,100
117,Ebanol,مسكي حيواني,"Rich, woody, slightly musky ebanol",Base,5,69883-51-0,100
118,Zestanolide,مسكي حيواني,"Fruity, sweet, slightly musky zestanolide",Base,5,91172-77-9,100
119,Velvione,مسكي حيواني,"Soft, warm, slightly musky velvione",Base,5,11576-67-3,100
120,Drimane,مسكي حيواني,"Fresh, green, slightly musky drimane",Base,5,55767-25-2,100
121,Ionone Gamma,مسكي حيواني,"Spicy, floral, slightly musky ionone gamma",Base,5,51761-37-4,100
122,Cetalox,مسكي حيواني,"Sweet, powdery, musky cetalox",Base,5,24852-29-6,100
123,Myrcene,مسكي حيواني,"Earthy, spicy, slightly musky myrcene",Base,5,40096-86-0,100
124,Pulegone,مسكي حيواني,"Fresh, minty, slightly musky pulegone",Base,5,51274-90-5,100
125,Vanillin,مسكي حيواني,"Sweet, creamy, slightly musky vanillin",Base,5,22167-80-0,100
126,Cumin Essential Oil,توابل وأعشاب عطرية,"Earthy, spicy, slightly woody cumin oil",Heart,5,19651-85-9,0.4
127,Coriander Essential Oil,توابل وأعشاب عطرية,"Spicy, earthy, slightly citrusy coriander oil",Heart,5,26024-70-6,100
128,Cardamom Essential Oil,توابل وأعشاب عطرية,"Sweet, spicy, slightly woody cardamom oil",Heart,5,92021-41-6,4.0
129,Nutmeg Essential Oil,توابل وأعشاب عطرية,"Warm, sweet, slightly woody nutmeg oil",Heart,5,40582-77-7,0.8
130,Clove Essential Oil,توابل وأعشاب عطرية,"Spicy, warm, slightly woody clove oil",Heart,10,84772-61-2,0.5
131,Vanilla Absolute,توابل وأعشاب عطرية,"Sweet, creamy, slightly woody vanilla oil",Heart,5,8024-06-4,100
132,Tonka Bean Absolute,توابل وأعشاب عطرية,"Sweet, spicy, slightly woody tonka bean oil",Heart,5,72270-33-3,1.6
133,Cade Essential Oil,توابل وأعشاب عطرية,"Smoky, woody, dry with slight citrus undertones",Heart,5,62839-43-0,100
134,Orris Root Distillate,توابل وأعشاب عطرية,"Powdery, floral, earthy iris root distillate",Heart,5,86679-00-1,100
135,Moss Absolute,توابل وأعشاب عطرية,"Earthy, damp, mossy forest floor distillate",Heart,10,79418-01-6,0.1
136,Usnea Lichen Essential Oil,توابل وأعشاب عطرية,"Fresh, earthy, slightly woody usnea lichen oil",Heart,5,23190-02-5,0.1
137,Balsam Fir Essential Oil,توابل وأعشاب عطرية,"Fresh, woody, resinous fir tree oil",Heart,5,82665-88-0,100
138,Pine Needle Essential Oil,توابل وأعشاب عطرية,"Fresh, crisp, woody pine needles oil",Heart,5,49207-39-6,100
139,Rosemary Essential Oil,توابل وأعشاب عطرية,"Herbal, woody, slightly spicy rosemary oil",Heart,5,60349-82-9,100
140,Thyme Essential Oil,توابل وأعشاب عطرية,"Spicy, herbal, slightly woody thyme oil",Heart,5,56078-82-3,100
141,Basil Essential Oil,توابل وأعشاب عطرية,"Sweet, spicy, slightly woody basil oil",Heart,5,19981-03-5,100
142,Oregano Essential Oil,توابل وأعشاب عطرية,"Spicy, earthy, slightly woody oregano oil",Heart,5,42505-37-4,100
143,Marjoram Essential Oil,توابل وأعشاب عطرية,"Sweet, spicy, slightly woody marjoram oil",Heart,5,75854-68-3,100
144,Lavender Essential Oil,توابل وأعشاب عطرية,"Floral, woody, slightly sweet lavender oil",Heart,5,8000-28-0,100
145,Clary Sage Essential Oil,توابل وأعشاب عطرية,"Herbal, woody, slightly floral clary sage oil",Heart,5,60308-39-1,100
146,Yarrow Absolute,توابل وأعشاب عطرية,"Fresh, earthy, slightly woody yarrow absolute",Heart,5,31211-91-0,100
147,Mugwort Absolute,توابل وأعشاب عطرية,"Spicy, earthy, slightly woody mugwort absolute",Heart,5,92441-90-9,100
148,Tarragon Essential Oil,توابل وأعشاب عطرية,"Sweet, spicy, slightly woody tarragon oil",Heart,5,55857-47-1,100
149,Anise Essential Oil,توابل وأعشاب عطرية,"Sweet, spicy, slightly woody anise oil",Heart,5,96331-97-6,100
150,Fennel Essential Oil,توابل وأعشاب عطرية,"Sweet, spicy, slightly woody fennel oil",Heart,5,46125-97-7,100
51,Sandalwood Essential Oil,خشبي ترابي طحلبي,"Warm, woody, slightly sweet sandalwood oil",Base,5,8006-87-9,100
52,Cedarwood Essential Oil,خشبي ترابي طحلبي,"Rich, dry, woody cedar aroma oil",Base,5,8000-27-9,100
53,Cypress Essential Oil,خشبي ترابي طحلبي,"Fresh, woody, slightly herbal cypress oil",Base,5,67153-10-0,100
54,Juniper Berry Essential Oil,خشبي ترابي طحلبي,"Piney, woody, slightly spicy juniper oil",Base,5,10154-85-0,100
55,Amyris Essential Oil,خشبي ترابي طحلبي,"Sweet, woody, slightly smoky amyris oil",Base,5,9397-16-0,100
56,Guaiac Wood Essential Oil,خشبي ترابي طحلبي,"Smoky, woody, medicinal guaiac oil",Base,5,73781-89-7,100
57,Storax Resinoid Absolute,خشبي ترابي طحلبي,"Sweet, woody, spicy storax absolute",Base,5,91356-71-0,100
58,Dracopax Absolute,خشبي ترابي طحلبي,"Earthy, woody, slightly smoky dracopax absolute",Base,5,144020-22-4,100
59,Hiba Wood Essential Oil,خشبي ترابي طحلبي,"Fresh, woody, slightly floral hiba wood oil",Base,5,54380-39-6,100
60,Blue Tansy Essential Oil,خشبي ترابي طحلبي,"Smoky, woody, slightly animalic blue tansy oil",Base,5,8159-24-6,100
61,Pink Pepper Essential Oil,خشبي ترابي طحلبي,"Spicy, woody, slightly sweet pink pepper oil",Base,5,22612-56-9,3.2
62,Green Pepper Absolute,خشبي ترابي طحلبي,"Fresh, spicy, slightly woody green pepper oil",Base,5,20601-55-7,100
63,Cumin Essential Oil,خشبي ترابي طحلبي,"Earthy, spicy, slightly woody cumin oil",Base,5,19651-85-9,0.4
64,Coriander Essential Oil,خشبي ترابي طحلبي,"Spicy, earthy, slightly citrusy coriander oil",Base,5,26024-70-6,100
65,Cardamom Essential Oil,خشبي ترابي طحلبي,"Sweet, spicy, slightly woody cardamom oil",Base,5,92021-41-6,4.0
66,Nutmeg Essential Oil,خشبي ترابي طحلبي,"Warm, sweet, slightly woody nutmeg oil",Base,5,40582-77-7,0.8
67,Clove Essential Oil,خشبي ترابي طحلبي,"Spicy, warm, slightly woody clove oil",Base,10,84772-61-2,0.5
68,Vanilla Absolute,خشبي ترابي طحلبي,"Sweet, creamy, slightly woody vanilla oil",Base,5,8024-06-4,100
69,Tonka Bean Absolute,خشبي ترابي طحلبي,"Sweet, spicy, slightly woody tonka bean oil",Base,5,72270-33-3,1.6
70,Cade Essential Oil,خشبي ترابي طحلبي,"Smoky, woody, dry with slight citrus undertones",Base,5,62839-43-0,100
71,Orris Root Distillate,خشبي ترابي طحلبي,"Powdery, floral, earthy iris root distillate",Base,5,86679-00-1,100
72,Moss Absolute,خشبي ترابي طحلبي,"Earthy, damp, mossy forest floor distillate",Base,10,79418-01-6,0.1
73,Usnea Lichen Essential Oil,خشبي ترابي طحلبي,"Fresh, earthy, slightly woody usnea lichen oil",Base,5,23190-02-5,0.1
74,Balsam Fir Essential Oil,خشبي ترابي طحلبي,"Fresh, woody, resinous fir tree oil",Base,5,82665-88-0,100
75,Pine Needle Essential Oil,خشبي ترابي طحلبي,"Fresh, crisp, woody pine needles oil",Base,5,49207-39-6,100
300,Iso E Super,خشبي,"Woody, ambergris, velvety",Base,5,54464-57-2,20.0
301,Timbersilk,خشبي,"Smooth, woody, amber",Base,5,54464-57-2,20.0
302,Sylvamber,خشبي,"Radiant, woody, ambery",Base,5,54464-57-2,20.0
303,Hedione,زهري,"Transparent, radiant, jasmine-like floral",Heart,5,24851-98-7,100
304,Hedione HC,زهري,"High-cis Hedione, more diffusive and floral",Heart,5,24851-98-7,100
305,Linalool,زهري,"Fresh, floral, sweet, woody",Heart,5,78-70-6,4.3
306,Linalyl Acetate,حمضي,"Sweet, green, citrus, bergamot-like",Heart,5,115-95-7,100
307,Geraniol,زهري,"Sweet, floral, rose-like",Heart,5,106-24-1,5.3
308,Citronellol,زهري,"Floral, rosy, waxy, citrus",Heart,5,106-22-9,13.3
309,Phenylethyl Alcohol (PEA),زهري,"Mild, warm, rose-honey",Heart,5,60-12-8,100
310,Hydroxycitronellal,زهري,"Sweet, floral, lily of the valley",Heart,5,107-75-5,1.2
311,Lyral,زهري,"Soft, delicate floral, lily, cyclamen",Heart,5,31906-04-4,0.0
312,Lilial,زهري,"Floral, muguet, watery, green",Heart,5,80-54-6,0.0
313,Florol,زهري,"Fresh, floral, muguet, natural",Heart,5,63500-71-0,100
314,Galaxolide,مسك,"Clean, sweet, musky, floral, woody",Base,5,1222-05-5,100
315,Ethylene Brassylate,مسك,"Sweet, powdery, vanilla-musk",Base,5,105-95-3,100
316,Ambrettolide,مسك,"Musky, sweet, floral, ambrette seed",Base,5,28645-51-4,100
317,Habanolide,مسك,"Elegant, powdery, macrocyclic musk",Base,5,111879-80-2,100
318,Helvetolide,مسك,"Modern, fruity, ambrette-like musk",Base,5,141773-73-1,100
319,Romandolide,مسك,"Musky, sweet, powdery, blackberry",Base,5,236391-76-7,100
320,Musk Ketone,مسك,"Sweet, powdery, animalic nitro-musk",Base,5,81-14-1,1.4
321,Cashmeran,مسك,"Musky, woody, spicy, floral",Base,5,33704-61-9,3.8
322,Ambroxan,عنبر,"Ambergris, woody, dry, radiant",Heart,5,6790-58-5,100
323,Cetalox,عنبر,"Rich, elegant, ambergris, woody",Heart,5,3738-00-9,100
324,Norlimbanol,خشبي,"Extremely dry, woody, ambery",Base,5,70788-30-6,100
325,Timberol,خشبي,"Dry, woody, amber, powdery",Base,5,70788-30-6,100
326,Kephalis,خشبي,"Rich, warm, woody, amber, tobacco",Base,5,36306-87-3,100
327,Sandalore,خشبي,"Warm, sweet, sandalwood, rich",Base,5,65113-99-7,100
328,Ebanol,خشبي,"Rich, sandalwood, slightly musky",Base,5,67801-20-1,100
329,Javanol,خشبي,"Powerful, creamy, rosy sandalwood",Base,5,198404-98-7,100
330,Bacdanol,خشبي,"Powerful, woody, sandalwood",Base,5,28219-61-6,100
331,Clearwood,خشبي,"Modern patchouli, clean, transparent",Base,5,1450625-49-6,100
332,Vertofix Coeur,خشبي,"Woody, vetiver, cedar, leather",Base,5,32388-55-9,100
333,Vanillin,غورماند (حلو),"Sweet, intense, vanilla bean",Heart,5,121-33-5,100
334,Ethyl Vanillin,غورماند (حلو),"Very sweet, intense vanilla, 3x stronger",Heart,5,121-32-4,100
335,Coumarin,غورماند (حلو),"Sweet, hay, tonka bean, almond",Heart,5,91-64-5,1.6
336,Maltol,غورماند (حلو),"Sweet, cotton candy, caramel, jam",Heart,5,118-71-8,100
337,Ethyl Maltol,غورماند (حلو),"Extremely sweet, burnt sugar, caramel",Heart,5,4940-11-8,100
338,Gamma Nonalactone,فاكهي,"Coconut, creamy, buttery, fruity",Heart,5,104-61-0,100
339,Gamma Undecalactone,فاكهي,"Peach, apricot, fruity, creamy",Heart,5,104-67-6,100
340,Cis-3-Hexenol,أخضر,"Intense green grass, leafy, fresh",Heart,5,928-96-1,100
341,Damascenone,فاكهي/زهري,"Intense plum, rose, berry, tobacco",Heart,5,23696-85-7,0.04
342,Damascone Alpha,فاكهي/زهري,"Apple, rose, fruity, plum",Heart,5,24720-09-0,0.2
343,Fructone,فاكهي,"Apple, fruity, sweet, woody",Heart,5,6413-10-1,100
